Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Measles,Calaveras,2002,Female,0,21136,0.0,0.0,17.452,-
Measles,Calaveras,2002,Male,0,20983,0.0,0.0,17.579,-
Measles,Calaveras,2003,Total,0,43186,0.0,0.0,8.541,-
Measles,Calaveras,2003,Female,0,21655,0.0,0.0,17.033,-
Measles,Calaveras,2003,Male,0,21531,0.0,0.0,17.131,-
Measles,Calaveras,2004,Total,0,43924,0.0,0.0,8.398,-
Measles,Calaveras,2004,Female,0,22015,0.0,0.0,16.755,-
Measles,Calaveras,2004,Male,0,21909,0.0,0.0,16.836,-
Measles,Calaveras,2005,Total,0,44773,0.0,0.0,8.239,-
Measles,Calaveras,2005,Female,0,22427,0.0,0.0,16.447,-
Measles,Calaveras,2005,Male,0,22346,0.0,0.0,16.507,-
Measles,Calaveras,2006,Total,0,45316,0.0,0.0,8.14,-
Measles,Calaveras,2006,Female,0,22693,0.0,0.0,16.254,-
Measles,Calaveras,2006,Male,0,22623,0.0,0.0,16.305,-
Measles,Calaveras,2007,Total,0,45638,0.0,0.0,8.083,-
Measles,Calaveras,2007,Female,0,22842,0.0,0.0,16.148,-
Measles,Calaveras,2007,Male,0,22796,0.0,0.0,16.181,-
Measles,Calaveras,2008,Total,0,45702,0.0,0.0,8.071,-
Measles,Calaveras,2008,Female,0,22864,0.0,0.0,16.133,-
Measles,Calaveras,2008,Male,0,22838,0.0,0.0,16.151,-
Measles,Calaveras,2009,Total,0,45562,0.0,0.0,8.096,-
Measles,Calaveras,2009,Female,0,22797,0.0,0.0,16.18,-
Measles,Calaveras,2009,Male,0,22765,0.0,0.0,16.203,-
Measles,Calaveras,2010,Total,0,45456,0.0,0.0,8.115,-
Measles,Calaveras,2010,Female,0,22699,0.0,0.0,16.25,-
Measles,Calaveras,2010,Male,0,22757,0.0,0.0,16.209,-
Measles,Calaveras,2011,Total,0,45121,0.0,0.0,8.175,-
Measles,Calaveras,2011,Female,0,22552,0.0,0.0,16.356,-
Measles,Calaveras,2011,Male,0,22569,0.0,0.0,16.344,-
Measles,Calaveras,2012,Total,0,44923,0.0,0.0,8.211,-
Measles,Calaveras,2012,Female,0,22468,0.0,0.0,16.417,-
Measles,Calaveras,2012,Male,0,22455,0.0,0.0,16.427,-
Measles,Calaveras,2013,Total,0,44852,0.0,0.0,8.224,-
Measles,Calaveras,2013,Female,0,22444,0.0,0.0,16.435,-
Measles,Calaveras,2013,Male,0,22408,0.0,0.0,16.461,-
Measles,Calaveras,2014,Total,0,45079,0.0,0.0,8.183,-
Measles,Calaveras,2014,Female,0,22552,0.0,0.0,16.356,-
Measles,Calaveras,2014,Male,0,22527,0.0,0.0,16.374,-
Measles,Colusa,2001,Total,0,19068,0.0,0.0,19.344,-
Measles,Colusa,2001,Female,0,9370,0.0,0.0,39.361,-
Measles,Colusa,2001,Male,0,9698,0.0,0.0,38.03,-
Measles,Colusa,2002,Total,0,19391,0.0,0.0,19.022,-
Measles,Colusa,2002,Female,0,9515,0.0,0.0,38.762,-
Measles,Colusa,2002,Male,0,9876,0.0,0.0,37.345,-
Measles,Colusa,2003,Total,0,19685,0.0,0.0,18.738,-
Measles,Colusa,2003,Female,0,9661,0.0,0.0,38.176,-
Measles,Colusa,2003,Male,0,10024,0.0,0.0,36.794,-
Measles,Colusa,2004,Total,0,20184,0.0,0.0,18.275,-
Measles,Colusa,2004,Female,0,9891,0.0,0.0,37.288,-
Measles,Colusa,2004,Male,0,10293,0.0,0.0,35.832,-
Measles,Colusa,2005,Total,0,20565,0.0,0.0,17.936,-
Measles,Colusa,2005,Female,0,10072,0.0,0.0,36.618,-
Measles,Colusa,2005,Male,0,10493,0.0,0.0,35.149,-
Measles,Colusa,2006,Total,0,20893,0.0,0.0,17.654,-
Measles,Colusa,2006,Female,0,10228,0.0,0.0,36.06,-
Measles,Colusa,2006,Male,0,10665,0.0,0.0,34.583,-
Measles,Colusa,2007,Total,0,21119,0.0,0.0,17.466,-
Measles,Colusa,2007,Female,0,10337,0.0,0.0,35.68,-
Measles,Colusa,2007,Male,0,10782,0.0,0.0,34.207,-
Measles,Colusa,2008,Total,0,21172,0.0,0.0,17.422,-
Measles,Colusa,2008,Female,0,10363,0.0,0.0,35.59,-
Measles,Colusa,2008,Male,0,10809,0.0,0.0,34.122,-
Measles,Colusa,2009,Total,0,21270,0.0,0.0,17.342,-
Measles,Colusa,2009,Female,0,10373,0.0,0.0,35.556,-
Measles,Colusa,2009,Male,0,10897,0.0,0.0,33.847,-
Measles,Colusa,2010,Total,0,21483,0.0,0.0,17.17,-
Measles,Colusa,2010,Female,0,10435,0.0,0.0,35.345,-
Measles,Colusa,2010,Male,0,11048,0.0,0.0,33.384,-
Measles,Colusa,2011,Total,0,21497,0.0,0.0,17.159,-
Measles,Colusa,2011,Female,0,10441,0.0,0.0,35.324,-
Measles,Colusa,2011,Male,0,11056,0.0,0.0,33.36,-
Measles,Colusa,2012,Total,0,21442,0.0,0.0,17.203,-
Measles,Colusa,2012,Female,0,10416,0.0,0.0,35.409,-
Measles,Colusa,2012,Male,0,11026,0.0,0.0,33.451,-
